ID_merge,appid,id_developer,weights
265,9880,3447,1.0
266,9900,3447,1.0
267,9940,8578,1.0
268,9960,7318,1.0
269,9970,7378,1.0
270,9980,1227,1.0
271,10090,15987,1.0
272,10100,13834,1.0
273,10110,13834,1.0
274,10120,1227,1.0
275,10130,13331,1.0
276,10140,16818,1.0
277,10150,12500,1.0
278,10180,1303,0.5
279,10180,7442,0.5
280,10220,15955,1.0
281,10230,4756,1.0
282,10240,14402,1.0
283,10250,14789,1.0
284,10260,14789,1.0
285,10270,570,1.0
286,10460,1926,1.0
287,10500,3371,0.3333333333333333
288,10500,5322,0.3333333333333333
289,10500,5323,0.3333333333333333
290,10680,12693,1.0
291,11020,10470,1.0
292,11040,5727,1.0
293,11050,5727,1.0
294,11130,5727,1.0
295,11140,5727,1.0
296,11150,5727,1.0
297,11190,5727,1.0
298,11200,5759,1.0
299,11230,2947,1.0
300,11240,9843,1.0
301,11250,2431,0.5
302,11250,8859,0.5
303,11260,8859,1.0
304,11280,5721,1.0
305,11330,7576,1.0
306,11340,9843,1.0
307,11360,89,1.0
308,11450,16050,0.5
309,11450,16605,0.5
310,11480,1758,1.0
311,11560,8289,1.0
312,11590,3912,1.0
313,12100,13101,1.0
314,12110,13101,1.0
315,12120,13101,1.0
316,12130,13104,1.0
317,12140,12841,1.0
318,12150,12841,1.0
319,12170,13104,1.0
320,12180,13104,1.0
321,12200,13103,1.0
322,12210,13104,0.5
323,12210,13107,0.5
324,12220,13105,1.0
325,12310,10209,1.0
326,12320,1282,1.0
327,12330,1282,1.0
328,12340,3898,1.0
329,12360,2427,1.0
330,12390,11547,1.0
331,12420,8289,1.0
332,12430,15291,1.0
333,12440,3896,1.0
334,12450,3896,1.0
335,12460,9623,1.0
336,12470,1282,1.0
337,12480,8860,0.5
338,12480,10998,0.5
339,12500,7433,1.0
340,12510,5969,0.5
341,12510,16604,0.5
342,12520,13520,1.0
343,12530,13520,1.0
344,12540,17543,1.0
345,12560,5889,1.0
346,12590,1823,1.0
347,12600,1484,0.5
348,12600,9850,0.5
349,12640,12511,1.0
350,12670,16604,1.0
351,12710,16050,0.5
352,12710,16605,0.5
353,12770,8986,1.0
354,12790,2115,1.0
355,12810,16050,0.5
356,12810,16605,0.5
357,12830,3079,1.0
358,13000,13428,1.0
359,13140,16175,1.0
360,13200,4910,1.0
361,13210,4910,1.0
362,13230,4910,1.0
363,13240,4910,1.0
364,13250,4910,1.0
365,13500,16183,1.0
366,13520,3466,1.0
367,13530,16195,1.0
368,13540,16195,1.0
369,13560,16183,1.0
370,13570,16195,1.0
371,13580,16195,1.0
372,13600,8598,1.0
373,13620,12755,1.0
374,15000,12755,1.0
375,15080,16190,0.5
376,15080,16194,0.5
377,15100,16195,1.0
378,15120,16195,1.0
379,15130,16183,1.0
380,15160,16183,1.0
381,15170,10856,1.0
382,15190,6115,1.0
383,15200,16205,1.0
384,15210,16183,1.0
385,15240,16205,1.0
386,15270,3761,1.0
387,15300,12755,1.0
388,15320,54,1.0
389,15370,10856,1.0
390,15380,10856,1.0
391,15390,6115,1.0
392,15400,11464,1.0
393,15500,3938,1.0
394,15520,3938,1.0
395,15560,3938,0.5
396,15560,11459,0.5
397,15620,5324,0.5
398,15620,12832,0.5
399,15700,11144,1.0
400,15710,11144,1.0
401,15740,11144,1.0
402,15750,11144,1.0
403,15800,14020,1.0
404,15900,10376,1.0
405,15910,10376,1.0
406,15920,10376,1.0
407,15930,10376,1.0
408,15960,10376,1.0
409,15970,10376,1.0
410,16000,10376,1.0
411,16020,10376,1.0
412,16030,10376,1.0
413,16040,10376,1.0
414,16060,10376,1.0
415,16100,8738,1.0
416,16110,8738,1.0
417,16120,8738,1.0
418,16130,8738,1.0
419,16180,8738,1.0
420,16200,8738,1.0
421,16450,10235,1.0
422,16500,2145,1.0
423,16600,12776,1.0
424,16620,12777,1.0
425,16710,3305,1.0
426,16720,12868,1.0
427,16730,14318,1.0
428,16810,5382,1.0
429,16900,1989,1.0
430,17080,6912,1.0
431,17100,15679,1.0
432,17120,15679,1.0
433,17140,15679,1.0
434,17180,15679,1.0
435,17300,3465,1.0
436,17330,3465,1.0
437,17390,9741,1.0
438,17410,4078,1.0
439,17430,4587,1.0
440,17440,9741,1.0
441,17450,1872,1.0
442,17460,1872,1.0
443,17470,4589,1.0
444,17480,4588,1.0
445,17500,17630,1.0
446,17570,11121,1.0
447,17710,5976,0.5
448,17710,7529,0.5
449,17740,4829,1.0
450,18000,7049,1.0
451,18020,7049,1.0
452,18040,7049,1.0
453,18050,7049,1.0
454,18070,7049,1.0
455,18120,5858,1.0
456,18300,13795,1.0
457,18400,5206,1.0
458,18420,5206,1.0
459,18470,14356,1.0
460,18480,173,1.0
461,18500,6917,1.0
462,18600,7542,1.0
463,18700,2369,1.0
464,18820,2331,1.0
465,19000,4329,1.0
466,19020,7433,1.0
467,19030,3013,1.0
468,19080,5884,1.0
469,19200,4068,1.0
470,19320,14687,1.0
471,19500,9175,0.5
472,19500,13879,0.5
473,19800,6115,1.0
474,19830,12755,0.5
475,19830,16195,0.5
476,19900,16195,1.0
477,19980,16195,1.0
478,20200,11709,1.0
479,20510,6550,1.0
480,20530,16717,1.0
481,20540,12832,1.0
482,20550,16717,1.0
483,20570,5324,0.5
484,20570,12832,0.5
485,20700,10268,1.0
486,20710,10268,1.0
487,20820,13831,1.0
488,20900,2713,1.0
489,20920,2713,1.0
490,21000,15960,1.0
491,21010,3872,1.0
492,21030,3873,1.0
493,21090,10238,0.5
494,21090,15701,0.5
495,21100,3838,1.0
496,21130,16079,1.0
497,21300,3718,1.0
498,21400,6024,1.0
499,21500,4717,1.0
500,21640,12296,1.0
501,21660,2583,1.0
502,21670,2583,1.0
503,21680,2583,1.0
504,21690,2583,1.0
505,21780,16204,1.0
506,21800,16184,1.0
507,21980,15290,1.0
508,22000,85,1.0
509,22100,15071,1.0
