id_developer	developers
601	Alawar Stargaze
602	Albash Bokhari
603	Albatros Softworks
604	Albatross Wirehead
605	Albert Fernandez
606	Albert MN.
607	Albert Stirner Games
608	Alberto Santiago
609	Albin Bernhardsson
610	Albino Moose Games
611	Albireo Games
612	Alcachofa Soft
613	Alcateia Entertainment
614	Alchemist Studio
615	AlchemyBlue
616	AlcoholEnthusiast
617	Alcuria Games
618	Alda Games
619	Alder Games
620	Aldin Dynamics
621	Aldorlea Games
622	Alec Robbins
623	Alec Smith
624	Alek1277
625	Aleksandar Kuzmanovic Games
626	Aleksandar Kuzmanovic Games Inc.
627	ALEKSANDER CHEPAIKIN
628	Aleksander Ciesielski
629	Aleksandr Eronin
630	Aleksandr Golovkin
631	Aleksandr Serzhantov
632	Aleksandr Soldatov
633	Alekseev
634	Aleksei Milchakov
635	Aleksey Abramenko
636	Aleksi Rajam�ki
637	Aleph=Null
638	Alersteam
639	Aleson
640	Alessandro Guzzo
641	Alessandro Roberti
642	Alex  Tritt
643	Alex Bade
644	Alex Bair Games
645	Alex Carpenter
646	Alex Cooper
647	Alex Danilow
648	Alex Hall
649	Alex Hanson-White
650	Alex Ilitchev
651	Alex Jedraszczak
652	Alex Meng
653	Alex Olinkiewicz
654	Alex Piola
655	Alex Quick
656	Alex Raita
657	Alex Rose
658	Alex Serpentini
659	Alex Swetnam
660	Alex Thomas
661	Alex Varvoid
662	Alex Williams
663	Alex Winter
664	Alex Woodcock
665	Alex Zelenskyi
666	Alex Zhang
667	Alex's Granny
668	Alex_redmiau
669	Alexander Benedict
670	Alexander Bruce
671	Alexander Casha
672	Alexander Goldman
673	Alexander Goodwin
674	Alexander Guo
675	Alexander Kov
676	Alexander M
677	Alexander Mirdzveli
678	Alexander Shvab
679	Alexander Spillman
680	Alexander Tavintsev
681	Alexandr Bondarenko
682	Alexandr Borovikov
683	Alexandr Kataev
684	Alexandr Lavelin
685	Alexandre Fontoura
686	Alexandre Petrault
687	Alexandre Rousseau
688	Alexandre SK
689	Alexandress
690	Alexandru Coserea
691	Alexandru Duta
692	alexeibelih
693	Alexey Bokulev
694	Alexey Davydov
695	Alexey Irhin
696	Alexey Khazov
697	Alexey Lavrov
698	Alexey Roenko
699	Alexey Volonsky
700	AlexHoratio
701	alexnown
702	AlexTheCreator
703	Alexzander Protasenya
704	Alfa Dynasty
705	Alfa System
706	Alfa-Omega
707	Alfred Lam
708	Alfred Sandberg
709	algamedev
710	Ali Asfand
711	Ali Eslami
712	Aliasworlds
713	Aliasworlds Entertainment
714	Alibi
715	Alice & Smith
716	ALICE IN DISSONANCE
717	Aliceledge
718	Alien Jellyfish
719	Alien Mind
720	Alien Nude LTD
721	Alien Octopus Studio
722	Alien Pixel Studios
723	ALIENS Corporation
724	Alientrap
725	AlikArt Studio
726	Alina Digital
727	AlinoVR
728	Alison M. Bailey
729	Alister Software
730	AliveGameStudio
731	AliveIn Technology Ltd
732	Alix
733	Alkame Games
734	Alkemi
735	All Civilized Planets
736	All Parts Connected
737	All Seeing Eye Games
738	All Those Moments
739	All Yes Good
740	All-Star Apps, LLC
741	Allen Dayan
742	Allgraf
743	AllianceInFaith
744	Allicorn Games
745	Allied Games Inc.
746	Alligator Pit
747	AllMySkyStudio
748	Allods Team
749	Allosaurus
750	ALLPlayer Group Ltd.
751	Allsvinn
752	Allusio
753	Allyi Games
754	Almighty Games
755	Almost Human Games
756	Almost Infinity Games LLC
757	Alone Games
758	Alongini
759	Alonzu
760	Alper T�ccar
761	Alpha Code Inc.
762	Alpha Pack Studios
763	alpha six productions
764	Alpha Strike Games Limited
765	Alpha unit
766	Alpha Wave Entertainment
767	Alpha72 Games
768	AlphaNuts
769	Alphaquest Games Studio
770	AlphaSoft LLC
771	Alpheratz*
772	AlPixel Games
773	Alrauna Studios
774	Alscenic
775	Altabestudio
776	Altai Game Studio
777	Altair Game
778	AltairRozali
779	altairworks
780	Altanir Aparecida Fernandes Malinowsky
781	Altar Games
782	ALTAR Interactive
783	Altay Workshop
784	ALTER-BOY
785	Altera Pars Games
786	AlteredPlanets
787	Alterego Games
788	Alterindie LLC
789	AlternativaPlatform
790	Alternative Dreams
791	Alternative Dreams Studios
792	Alternative Software
793	Alternative Software Ltd
794	Altfuture
795	AltImage Games
796	AltspaceVR, Inc.
797	ALU Interactive
798	Alvaro Urrutia Luna
799	Always & Forever Computer Entertainment
800	AlyStudio
801	Alzan Studios, LLC
802	AMA
803	AmagSwag Games
804	Amamori Lab
805	Amanita Design
806	Amanotes
